181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000000555	409	371	1217	1237	508	714	2981	3450	2827	1939	2447	2007
ENSSSCG00000000559	1754	2131	9472	9195	1085	1276	7373	5813	1598	1562	1648	1465
ENSSSCG00000000563	37	51	136	96	78	80	311	783	210	153	212	219
ENSSSCG00000000567	66	64	269	371	39	38	176	132	99	87	140	83
ENSSSCG00000000570	829	1015	1872	1866	1377	1969	3549	3267	4589	4612	4141	4947
ENSSSCG00000000571	2005	2080	1961	2035	3909	5861	2661	4015	10344	10131	9378	10389
ENSSSCG00000000573	410	436	1015	1011	684	1268	1208	2062	1224	905	1074	1239
ENSSSCG00000000576	27678	29110	12653	13429	38337	30148	24410	20584	17013	20602	22421	17181
ENSSSCG00000000577	1	0	4	1	14	2	12	8	35	25	35	19
ENSSSCG00000000579	1004	1024	2284	2830	1552	1707	3156	2642	1945	2045	2017	1967
ENSSSCG00000000580	682	687	1118	1248	718	800	2029	1701	1352	1296	1323	1262
ENSSSCG00000000582	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000000583	469	556	797	769	659	668	1375	1275	1110	1078	1002	1038
ENSSSCG00000000584	3	4	9	11	3	5	41	33	66	60	51	62
ENSSSCG00000000585	1	0	7	12	10	7	84	97	3	5	14	8
ENSSSCG00000000587	647	700	1749	1840	1896	1872	2447	2087	2183	2119	2259	2270
ENSSSCG00000000588	775	831	2061	2153	838	785	4972	2997	1708	1965	2411	1725
ENSSSCG00000000589	7	2	7	8	9	6	39	22	89	73	65	71
ENSSSCG00000000590	0	0	0	0	0	0	3	6	0	0	1	1
ENSSSCG00000000591	13	84	186	165	8	3	413	13	37	48	51	56
ENSSSCG00000000598	0	0	2	6	2	1	12	4	10	12	12	16
ENSSSCG00000000599	646	767	1074	976	781	705	1564	1369	939	1040	902	952
ENSSSCG00000000600	1782	1515	3061	3137	2517	2852	6038	4634	3736	3470	3879	3584
ENSSSCG00000000601	14	17	52	41	1	2	14	22	22	25	23	19
ENSSSCG00000000602	99	84	799	874	78	69	609	234	165	153	227	142
